"행정구역","2023년01월_거주자 인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_거주자 인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_거주자 인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율","2023년04월_거주자 인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년04월_남자 인구수","2023년04월_여자 인구수","2023년04월_남여 비율","2023년05월_거주자 인구수","2023년05월_세대수","2023년05월_세대당 인구","2023년05월_남자 인구수","2023년05월_여자 인구수","2023년05월_남여 비율","2023년06월_거주자 인구수","2023년06월_세대수","2023년06월_세대당 인구","2023년06월_남자 인구수","2023년06월_여자 인구수","2023년06월_남여 비율","2023년07월_거주자 인구수","2023년07월_세대수","2023년07월_세대당 인구","2023년07월_남자 인구수","2023년07월_여자 인구수","2023년07월_남여 비율","2023년08월_거주자 인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년08월_남자 인구수","2023년08월_여자 인구수","2023년08월_남여 비율","2023년09월_거주자 인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년09월_남자 인구수","2023년09월_여자 인구수","2023년09월_남여 비율","2023년10월_거주자 인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율","2023년11월_거주자 인구수","2023년11월_세대수","2023년11월_세대당 인구","2023년11월_남자 인구수","2023년11월_여자 인구수","2023년11월_남여 비율","2023년12월_거주자 인구수","2023년12월_세대수","2023년12월_세대당 인구","2023년12월_남자 인구수","2023년12월_여자 인구수","2023년12월_남여 비율","2024년01월_거주자 인구수","2024년01월_세대수","2024년01월_세대당 인구","2024년01월_남자 인구수","2024년01월_여자 인구수","2024년01월_남여 비율","2024년02월_거주자 인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년02월_남자 인구수","2024년02월_여자 인구수","2024년02월_남여 비율","2024년03월_거주자 인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년03월_남자 인구수","2024년03월_여자 인구수","2024년03월_남여 비율","2024년04월_거주자 인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년04월_남자 인구수","2024년04월_여자 인구수","2024년04월_남여 비율","2024년05월_거주자 인구수","2024년05월_세대수","2024년05월_세대당 인구","2024년05월_남자 인구수","2024년05월_여자 인구수","2024년05월_남여 비율","2024년06월_거주자 인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년06월_남자 인구수","2024년06월_여자 인구수","2024년06월_남여 비율","2024년07월_거주자 인구수","2024년07월_세대수","2024년07월_세대당 인구","2024년07월_남자 인구수","2024년07월_여자 인구수","2024년07월_남여 비율","2024년08월_거주자 인구수","2024년08월_세대수","2024년08월_세대당 인구","2024년08월_남자 인구수","2024년08월_여자 인구수","2024년08월_남여 비율","2024년09월_거주자 인구수","2024년09월_세대수","2024년09월_세대당 인구","2024년09월_남자 인구수","2024년09월_여자 인구수","2024년09월_남여 비율","2024년10월_거주자 인구수","2024년10월_세대수","2024년10월_세대당 인구","2024년10월_남자 인구수","2024년10월_여자 인구수","2024년10월_남여 비율","2024년11월_거주자 인구수","2024년11월_세대수","2024년11월_세대당 인구","2024년11월_남자 인구수","2024년11월_여자 인구수","2024년11월_남여 비율","2024년12월_거주자 인구수","2024년12월_세대수","2024년12월_세대당 인구","2024년12월_남자 인구수","2024년12월_여자 인구수","2024년12월_남여 비율","2025년01월_거주자 인구수","2025년01월_세대수","2025년01월_세대당 인구","2025년01월_남자 인구수","2025년01월_여자 인구수","2025년01월_남여 비율","2025년02월_거주자 인구수","2025년02월_세대수","2025년02월_세대당 인구","2025년02월_남자 인구수","2025년02월_여자 인구수","2025년02월_남여 비율","2025년03월_거주자 인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율","2025년04월_거주자 인구수","2025년04월_세대수","2025년04월_세대당 인구","2025년04월_남자 인구수","2025년04월_여자 인구수","2025년04월_남여 비율","2025년05월_거주자 인구수","2025년05월_세대수","2025년05월_세대당 인구","2025년05월_남자 인구수","2025년05월_여자 인구수","2025년05월_남여 비율","2025년06월_거주자 인구수","2025년06월_세대수","2025년06월_세대당 인구","2025년06월_남자 인구수","2025년06월_여자 인구수","2025년06월_남여 비율"
"서울특별시 마포구 (1144000000)","361,708","177,973","          2.03","169,556","192,152","          0.88","362,194","178,465","          2.03","169,717","192,477","          0.88","362,315","178,705","          2.03","169,654","192,661","          0.88","362,039","178,649","          2.03","169,500","192,539","          0.88","362,031","178,761","          2.03","169,362","192,669","          0.88","361,861","178,772","          2.02","169,253","192,608","          0.88","361,718","178,839","          2.02","169,169","192,549","          0.88","361,314","178,856","          2.02","168,895","192,419","          0.88","361,018","178,879","          2.02","168,746","192,272","          0.88","360,772","178,791","          2.02","168,623","192,149","          0.88","360,623","178,736","          2.02","168,560","192,063","          0.88","360,473","178,783","          2.02","168,445","192,028","          0.88","360,464","178,861","          2.02","168,341","192,123","          0.88","360,409","179,250","          2.01","168,297","192,112","          0.88","360,440","179,470","          2.01","168,215","192,225","          0.88","360,235","179,441","          2.01","168,028","192,207","          0.87","359,972","179,385","          2.01","167,876","192,096","          0.87","359,835","179,399","          2.01","167,772","192,063","          0.87","359,793","179,498","          2.00","167,678","192,115","          0.87","359,643","179,495","          2.00","167,583","192,060","          0.87","359,398","179,444","          2.00","167,450","191,948","          0.87","358,903","179,244","          2.00","167,187","191,716","          0.87","358,672","179,033","          2.00","167,042","191,630","          0.87","358,250","178,890","          2.00","166,857","191,393","          0.87","357,836","178,752","          2.00","166,596","191,240","          0.87","357,633","179,015","          2.00","166,405","191,228","          0.87","357,394","178,941","          2.00","166,243","191,151","          0.87","357,032","178,893","          2.00","166,015","191,017","          0.87","356,715","178,739","          2.00","165,809","190,906","          0.87","356,530","178,712","          1.99","165,702","190,828","          0.87"
"서울특별시 마포구 아현동(1144055500)","26,239","10,915","          2.40","12,247","13,992","          0.88","27,116","11,257","          2.41","12,655","14,461","          0.88","27,425","11,394","          2.41","12,785","14,640","          0.87","27,655","11,477","          2.41","12,924","14,731","          0.88","27,782","11,524","          2.41","12,984","14,798","          0.88","27,859","11,546","          2.41","13,013","14,846","          0.88","27,966","11,622","          2.41","13,050","14,916","          0.87","28,058","11,748","          2.39","13,058","15,000","          0.87","28,184","11,838","          2.38","13,104","15,080","          0.87","28,200","11,856","          2.38","13,112","15,088","          0.87","28,325","11,917","          2.38","13,162","15,163","          0.87","28,467","11,984","          2.38","13,224","15,243","          0.87","28,628","12,070","          2.37","13,295","15,333","          0.87","28,633","12,101","          2.37","13,303","15,330","          0.87","28,626","12,099","          2.37","13,301","15,325","          0.87","28,644","12,100","          2.37","13,302","15,342","          0.87","28,657","12,110","          2.37","13,306","15,351","          0.87","28,697","12,130","          2.37","13,316","15,381","          0.87","28,798","12,166","          2.37","13,353","15,445","          0.86","28,813","12,176","          2.37","13,368","15,445","          0.87","28,831","12,201","          2.36","13,379","15,452","          0.87","28,838","12,203","          2.36","13,376","15,462","          0.87","28,847","12,202","          2.36","13,364","15,483","          0.86","28,853","12,186","          2.37","13,362","15,491","          0.86","28,775","12,151","          2.37","13,334","15,441","          0.86","28,737","12,167","          2.36","13,313","15,424","          0.86","28,715","12,160","          2.36","13,302","15,413","          0.86","28,741","12,174","          2.36","13,293","15,448","          0.86","28,800","12,192","          2.36","13,320","15,480","          0.86","28,759","12,171","          2.36","13,302","15,457","          0.86"
"서울특별시 마포구 공덕동(1144056500)","36,545","18,420","          1.98","17,125","19,420","          0.88","36,504","18,441","          1.98","17,081","19,423","          0.88","36,507","18,474","          1.98","17,060","19,447","          0.88","36,480","18,473","          1.97","17,050","19,430","          0.88","36,480","18,487","          1.97","17,047","19,433","          0.88","36,493","18,493","          1.97","17,054","19,439","          0.88","36,453","18,478","          1.97","17,026","19,427","          0.88","36,431","18,474","          1.97","17,015","19,416","          0.88","36,333","18,450","          1.97","16,980","19,353","          0.88","36,335","18,443","          1.97","16,990","19,345","          0.88","36,300","18,431","          1.97","16,971","19,329","          0.88","36,230","18,427","          1.97","16,915","19,315","          0.88","36,259","18,435","          1.97","16,904","19,355","          0.87","36,175","18,429","          1.96","16,855","19,320","          0.87","36,170","18,440","          1.96","16,848","19,322","          0.87","36,164","18,435","          1.96","16,827","19,337","          0.87","36,113","18,403","          1.96","16,800","19,313","          0.87","36,046","18,375","          1.96","16,777","19,269","          0.87","36,028","18,373","          1.96","16,768","19,260","          0.87","35,998","18,382","          1.96","16,731","19,267","          0.87","35,980","18,353","          1.96","16,722","19,258","          0.87","35,958","18,336","          1.96","16,712","19,246","          0.87","35,943","18,337","          1.96","16,717","19,226","          0.87","35,879","18,298","          1.96","16,698","19,181","          0.87","35,869","18,291","          1.96","16,694","19,175","          0.87","35,805","18,293","          1.96","16,652","19,153","          0.87","35,747","18,259","          1.96","16,608","19,139","          0.87","35,692","18,244","          1.96","16,587","19,105","          0.87","35,658","18,226","          1.96","16,562","19,096","          0.87","35,718","18,260","          1.96","16,577","19,141","          0.87"
"서울특별시 마포구 도화동(1144058500)","20,593","9,137","          2.25","9,827","10,766","          0.91","20,541","9,135","          2.25","9,799","10,742","          0.91","20,517","9,131","          2.25","9,778","10,739","          0.91","20,429","9,109","          2.24","9,721","10,708","          0.91","20,433","9,120","          2.24","9,696","10,737","          0.90","20,440","9,122","          2.24","9,709","10,731","          0.90","20,421","9,115","          2.24","9,703","10,718","          0.91","20,434","9,133","          2.24","9,704","10,730","          0.90","20,368","9,124","          2.23","9,673","10,695","          0.90","20,390","9,144","          2.23","9,673","10,717","          0.90","20,400","9,128","          2.23","9,669","10,731","          0.90","20,402","9,131","          2.23","9,672","10,730","          0.90","20,415","9,142","          2.23","9,678","10,737","          0.90","20,391","9,143","          2.23","9,674","10,717","          0.90","20,399","9,156","          2.23","9,665","10,734","          0.90","20,417","9,179","          2.22","9,674","10,743","          0.90","20,385","9,173","          2.22","9,660","10,725","          0.90","20,413","9,200","          2.22","9,667","10,746","          0.90","20,438","9,207","          2.22","9,679","10,759","          0.90","20,417","9,219","          2.21","9,666","10,751","          0.90","20,416","9,217","          2.22","9,656","10,760","          0.90","20,354","9,196","          2.21","9,614","10,740","          0.90","20,359","9,195","          2.21","9,622","10,737","          0.90","20,319","9,183","          2.21","9,605","10,714","          0.90","20,316","9,184","          2.21","9,600","10,716","          0.90","20,226","9,160","          2.21","9,550","10,676","          0.89","20,225","9,166","          2.21","9,574","10,651","          0.90","20,258","9,189","          2.20","9,590","10,668","          0.90","20,309","9,202","          2.21","9,626","10,683","          0.90","20,262","9,198","          2.20","9,598","10,664","          0.90"
"서울특별시 마포구 용강동(1144059000)","21,113","9,142","          2.31","9,969","11,144","          0.89","21,133","9,144","          2.31","9,982","11,151","          0.90","21,098","9,160","          2.30","9,950","11,148","          0.89","21,107","9,163","          2.30","9,954","11,153","          0.89","21,117","9,174","          2.30","9,959","11,158","          0.89","21,107","9,169","          2.30","9,952","11,155","          0.89","21,120","9,194","          2.30","9,958","11,162","          0.89","21,132","9,198","          2.30","9,963","11,169","          0.89","21,108","9,204","          2.29","9,935","11,173","          0.89","21,081","9,175","          2.30","9,928","11,153","          0.89","21,033","9,137","          2.30","9,894","11,139","          0.89","21,029","9,137","          2.30","9,902","11,127","          0.89","20,997","9,130","          2.30","9,872","11,125","          0.89","21,044","9,152","          2.30","9,902","11,142","          0.89","21,062","9,158","          2.30","9,920","11,142","          0.89","21,079","9,162","          2.30","9,916","11,163","          0.89","21,105","9,168","          2.30","9,919","11,186","          0.89","21,095","9,153","          2.30","9,905","11,190","          0.89","21,056","9,148","          2.30","9,867","11,189","          0.88","21,078","9,149","          2.30","9,872","11,206","          0.88","21,110","9,157","          2.31","9,891","11,219","          0.88","21,085","9,146","          2.31","9,868","11,217","          0.88","21,061","9,117","          2.31","9,849","11,212","          0.88","21,050","9,110","          2.31","9,834","11,216","          0.88","21,007","9,101","          2.31","9,818","11,189","          0.88","21,007","9,108","          2.31","9,810","11,197","          0.88","20,986","9,103","          2.31","9,797","11,189","          0.88","20,993","9,105","          2.31","9,792","11,201","          0.87","21,038","9,133","          2.30","9,813","11,225","          0.87","21,004","9,115","          2.30","9,796","11,208","          0.87"
"서울특별시 마포구 대흥동(1144060000)","14,262","8,554","          1.67","6,919","7,343","          0.94","14,285","8,626","          1.66","6,935","7,350","          0.94","14,319","8,641","          1.66","6,956","7,363","          0.94","14,274","8,618","          1.66","6,949","7,325","          0.95","14,268","8,609","          1.66","6,943","7,325","          0.95","14,224","8,592","          1.66","6,921","7,303","          0.95","14,261","8,598","          1.66","6,949","7,312","          0.95","14,285","8,600","          1.66","6,952","7,333","          0.95","14,284","8,592","          1.66","6,936","7,348","          0.94","14,279","8,564","          1.67","6,927","7,352","          0.94","14,206","8,516","          1.67","6,896","7,310","          0.94","14,194","8,508","          1.67","6,891","7,303","          0.94","14,154","8,477","          1.67","6,872","7,282","          0.94","14,207","8,539","          1.66","6,895","7,312","          0.94","14,224","8,582","          1.66","6,909","7,315","          0.94","14,210","8,571","          1.66","6,900","7,310","          0.94","14,189","8,554","          1.66","6,881","7,308","          0.94","14,208","8,568","          1.66","6,878","7,330","          0.94","14,161","8,532","          1.66","6,859","7,302","          0.94","14,163","8,541","          1.66","6,858","7,305","          0.94","14,109","8,517","          1.66","6,829","7,280","          0.94","14,087","8,487","          1.66","6,833","7,254","          0.94","14,140","8,486","          1.67","6,853","7,287","          0.94","14,087","8,458","          1.67","6,820","7,267","          0.94","14,027","8,416","          1.67","6,782","7,245","          0.94","14,060","8,480","          1.66","6,772","7,288","          0.93","14,048","8,466","          1.66","6,741","7,307","          0.92","14,046","8,472","          1.66","6,743","7,303","          0.92","13,990","8,450","          1.66","6,719","7,271","          0.92","13,974","8,437","          1.66","6,714","7,260","          0.92"
"서울특별시 마포구 염리동(1144061000)","16,635","7,691","          2.16","7,954","8,681","          0.92","16,656","7,707","          2.16","7,968","8,688","          0.92","16,662","7,723","          2.16","7,965","8,697","          0.92","16,641","7,706","          2.16","7,952","8,689","          0.92","16,676","7,716","          2.16","7,963","8,713","          0.91","16,711","7,722","          2.16","7,977","8,734","          0.91","16,692","7,717","          2.16","7,962","8,730","          0.91","16,714","7,725","          2.16","7,963","8,751","          0.91","16,712","7,720","          2.16","7,975","8,737","          0.91","16,726","7,709","          2.17","7,983","8,743","          0.91","16,737","7,714","          2.17","7,986","8,751","          0.91","16,721","7,707","          2.17","7,961","8,760","          0.91","16,734","7,718","          2.17","7,951","8,783","          0.91","16,783","7,734","          2.17","7,969","8,814","          0.90","16,772","7,736","          2.17","7,953","8,819","          0.90","16,780","7,735","          2.17","7,965","8,815","          0.90","16,744","7,723","          2.17","7,959","8,785","          0.91","16,746","7,739","          2.16","7,952","8,794","          0.90","16,741","7,735","          2.16","7,960","8,781","          0.91","16,728","7,716","          2.17","7,962","8,766","          0.91","16,713","7,697","          2.17","7,964","8,749","          0.91","16,713","7,682","          2.18","7,954","8,759","          0.91","16,724","7,662","          2.18","7,965","8,759","          0.91","16,726","7,661","          2.18","7,946","8,780","          0.91","16,704","7,639","          2.19","7,936","8,768","          0.91","16,712","7,645","          2.19","7,949","8,763","          0.91","16,699","7,668","          2.18","7,946","8,753","          0.91","16,657","7,660","          2.17","7,922","8,735","          0.91","16,638","7,645","          2.18","7,912","8,726","          0.91","16,628","7,646","          2.17","7,908","8,720","          0.91"
"서울특별시 마포구 신수동(1144063000)","22,123","9,919","          2.23","10,785","11,338","          0.95","22,085","9,940","          2.22","10,783","11,302","          0.95","22,071","9,924","          2.22","10,772","11,299","          0.95","22,048","9,905","          2.23","10,754","11,294","          0.95","22,027","9,916","          2.22","10,734","11,293","          0.95","22,040","9,920","          2.22","10,728","11,312","          0.95","22,035","9,938","          2.22","10,737","11,298","          0.95","22,010","9,930","          2.22","10,730","11,280","          0.95","21,997","9,925","          2.22","10,724","11,273","          0.95","21,978","9,923","          2.21","10,718","11,260","          0.95","21,996","9,953","          2.21","10,727","11,269","          0.95","21,942","9,941","          2.21","10,698","11,244","          0.95","21,957","9,944","          2.21","10,698","11,259","          0.95","21,963","9,978","          2.20","10,713","11,250","          0.95","21,997","9,993","          2.20","10,723","11,274","          0.95","22,022","10,010","          2.20","10,724","11,298","          0.95","22,000","10,008","          2.20","10,716","11,284","          0.95","22,047","10,019","          2.20","10,750","11,297","          0.95","22,076","10,044","          2.20","10,757","11,319","          0.95","22,051","10,024","          2.20","10,744","11,307","          0.95","22,049","10,031","          2.20","10,731","11,318","          0.95","22,029","10,023","          2.20","10,728","11,301","          0.95","22,001","10,001","          2.20","10,720","11,281","          0.95","22,001","9,996","          2.20","10,716","11,285","          0.95","21,985","9,989","          2.20","10,685","11,300","          0.95","21,986","10,006","          2.20","10,683","11,303","          0.95","21,960","10,009","          2.19","10,665","11,295","          0.94","21,953","10,008","          2.19","10,664","11,289","          0.94","21,896","9,979","          2.19","10,631","11,265","          0.94","21,906","9,989","          2.19","10,654","11,252","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,499","12,002","          2.04","11,699","12,800","          0.91","24,474","12,012","          2.04","11,688","12,786","          0.91","24,487","12,025","          2.04","11,695","12,792","          0.91","24,448","12,012","          2.04","11,664","12,784","          0.91","24,446","12,011","          2.04","11,644","12,802","          0.91","24,440","12,035","          2.03","11,642","12,798","          0.91","24,379","12,020","          2.03","11,633","12,746","          0.91","24,357","12,012","          2.03","11,615","12,742","          0.91","24,384","12,018","          2.03","11,627","12,757","          0.91","24,355","12,029","          2.02","11,611","12,744","          0.91","24,354","12,040","          2.02","11,624","12,730","          0.91","24,373","12,026","          2.03","11,621","12,752","          0.91","24,365","12,028","          2.03","11,617","12,748","          0.91","24,418","12,100","          2.02","11,661","12,757","          0.91","24,436","12,091","          2.02","11,672","12,764","          0.91","24,465","12,117","          2.02","11,685","12,780","          0.91","24,462","12,124","          2.02","11,689","12,773","          0.92","24,404","12,108","          2.02","11,654","12,750","          0.91","24,378","12,114","          2.01","11,665","12,713","          0.92","24,374","12,127","          2.01","11,669","12,705","          0.92","24,315","12,100","          2.01","11,653","12,662","          0.92","24,274","12,110","          2.00","11,635","12,639","          0.92","24,257","12,094","          2.01","11,612","12,645","          0.92","24,238","12,080","          2.01","11,607","12,631","          0.92","24,193","12,049","          2.01","11,593","12,600","          0.92","24,245","12,107","          2.00","11,614","12,631","          0.92","24,270","12,111","          2.00","11,617","12,653","          0.92","24,216","12,088","          2.00","11,586","12,630","          0.92","24,116","12,037","          2.00","11,531","12,585","          0.92","24,115","12,066","          2.00","11,519","12,596","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,167","15,137","          1.60","11,003","13,164","          0.84","24,143","15,142","          1.59","10,973","13,170","          0.83","24,095","15,142","          1.59","10,944","13,151","          0.83","24,060","15,121","          1.59","10,913","13,147","          0.83","24,019","15,130","          1.59","10,912","13,107","          0.83","23,927","15,084","          1.59","10,879","13,048","          0.83","23,905","15,059","          1.59","10,887","13,018","          0.84","23,815","15,036","          1.58","10,840","12,975","          0.84","23,768","15,021","          1.58","10,844","12,924","          0.84","23,761","15,030","          1.58","10,846","12,915","          0.84","23,727","15,011","          1.58","10,838","12,889","          0.84","23,740","15,025","          1.58","10,851","12,889","          0.84","23,704","14,993","          1.58","10,841","12,863","          0.84","23,684","15,011","          1.58","10,833","12,851","          0.84","23,758","15,083","          1.58","10,859","12,899","          0.84","23,727","15,070","          1.57","10,842","12,885","          0.84","23,664","15,040","          1.57","10,807","12,857","          0.84","23,619","15,019","          1.57","10,794","12,825","          0.84","23,624","15,038","          1.57","10,782","12,842","          0.84","23,592","15,006","          1.57","10,776","12,816","          0.84","23,559","14,997","          1.57","10,746","12,813","          0.84","23,497","14,970","          1.57","10,721","12,776","          0.84","23,493","14,971","          1.57","10,717","12,776","          0.84","23,426","14,945","          1.57","10,691","12,735","          0.84","23,419","14,935","          1.57","10,690","12,729","          0.84","23,416","14,924","          1.57","10,694","12,722","          0.84","23,443","14,924","          1.57","10,717","12,726","          0.84","23,366","14,881","          1.57","10,684","12,682","          0.84","23,366","14,880","          1.57","10,681","12,685","          0.84","23,337","14,866","          1.57","10,650","12,687","          0.84"
